logicalName,suggestedDomain,suggestedCategory,matchedBy
aaduser,GENERAL,Standard,fallback
aal_ontvangstbewijstype,GENERAL,Custom,fallback
aal_ontvangstbewijzen,GENERAL,Custom,fallback
account,CCSP ORGANISATIES,Standard,exact
accountleads,CCSP ORGANISATIES,Standard,kw:account
aciviewmapper,GENERAL,Standard,fallback
actioncard,GENERAL,Standard,fallback
actioncardusersettings,GENERAL,Standard,fallback
actioncarduserstate,GENERAL,Standard,fallback
activityfileattachment,GENERAL,Standard,fallback
activitymimeattachment,GENERAL,Standard,fallback
activitymonitor,GENERAL,Standard,fallback
activityparty,GENERAL,Standard,fallback
activitypointer,GENERAL,Standard,fallback
adminsettingsentity,GENERAL,Standard,fallback
advancedsimilarityrule,GENERAL,Standard,fallback
adx_accesscontrolrule_publishingstate,GENERAL,Standard,fallback
adx_accountcontentaccesslevel,CCSP ORGANISATIES,Standard,kw:account
adx_accountproduct,PRODUCTENCATALOGUS P30,Standard,kw:product
adx_ad,GENERAL,Standard,fallback
adx_adplacement,GENERAL,Standard,fallback
adx_adplacement_ad,GENERAL,Standard,fallback
adx_alertsubscription,GENERAL,Standard,fallback
adx_badge,GENERAL,Standard,fallback
adx_badgetype,GENERAL,Standard,fallback
adx_bingmaplookup,GENERAL,Standard,fallback
adx_blog,GENERAL,Standard,fallback
adx_blog_webrole,WEBCONTENT,Standard,kw:web
adx_blogpost,GENERAL,Standard,fallback
adx_blogpost_tag,GENERAL,Standard,fallback
adx_bpf_c2857b638fa7473d8e2f112c232cebd8,GENERAL,Standard,fallback
adx_casedeflection,BEHEER VAN ZAKEN EN DOSSIERS,Standard,kw:case
adx_cmpallowedreason,GENERAL,Standard,fallback
adx_communityforum,GENERAL,Standard,fallback
adx_communityforumaccesspermission,GENERAL,Standard,fallback
adx_communityforumaccesspermission_webrole,WEBCONTENT,Standard,kw:web
adx_communityforumalert,GENERAL,Standard,fallback
adx_communityforumannouncement,GENERAL,Standard,fallback
adx_communityforumpost,GENERAL,Standard,fallback
adx_communityforumthread,GENERAL,Standard,fallback
adx_communityforumthread_contact,CCSP CONTACTPERSONEN,Standard,kw:contact
adx_communityforumthread_tag,GENERAL,Standard,fallback
adx_contactcontentaccesslevel,CCSP CONTACTPERSONEN,Standard,kw:contact
adx_contactproduct,PRODUCTENCATALOGUS P30,Standard,kw:product
adx_contentaccesslevel,WEBCONTENT,Standard,kw:content
adx_contentmoderationpolicy,WEBCONTENT,Standard,kw:content
adx_contentsnippet,WEBCONTENT,Standard,kw:content
adx_entityform,GENERAL,Standard,fallback
adx_entityformmetadata,GENERAL,Standard,fallback
adx_entitylist,GENERAL,Standard,fallback
adx_entitypermission,GENERAL,Standard,fallback
adx_entitypermission_webrole,WEBCONTENT,Standard,kw:web
adx_externalidentity,GENERAL,Standard,fallback
adx_forum_activityalert,GENERAL,Standard,fallback
adx_forumnotification,GENERAL,Standard,fallback
adx_forumthreadtype,GENERAL,Standard,fallback
adx_idea,GENERAL,Standard,fallback
adx_ideaforum,GENERAL,Standard,fallback
adx_invitation,GENERAL,Standard,fallback
adx_invitation_invitecontacts,CCSP CONTACTPERSONEN,Standard,kw:contact
adx_invitation_mspp_webrole_powerpagecomponent,WEBCONTENT,Standard,kw:web
adx_invitation_redeemedcontacts,CCSP CONTACTPERSONEN,Standard,kw:contact
adx_invitation_webrole,WEBCONTENT,Standard,kw:web
adx_inviteredemption,GENERAL,Standard,fallback
adx_kbarticle_kbarticle,GENERAL,Standard,fallback
adx_knowledgearticlecontentaccesslevel,WEBCONTENT,Standard,kw:content
adx_pagealert,WEBCONTENT,Standard,kw:page
adx_pagenotification,WEBCONTENT,Standard,kw:page
adx_pagetag,WEBCONTENT,Standard,kw:page
adx_pagetag_webpage,WEBCONTENT,Standard,kw:web
adx_pagetemplate,WEBCONTENT,Standard,kw:page
adx_poll,GENERAL,Standard,fallback
adx_polloption,GENERAL,Standard,fallback
adx_pollplacement,GENERAL,Standard,fallback
adx_pollplacement_poll,GENERAL,Standard,fallback
adx_pollsubmission,GENERAL,Standard,fallback
adx_portalcomment,GENERAL,Standard,fallback
adx_portallanguage,GENERAL,Standard,fallback
adx_publishingstate,GENERAL,Standard,fallback
adx_publishingstatetransitionrule,GENERAL,Standard,fallback
adx_publishingstatetransitionrule_webrole,WEBCONTENT,Standard,kw:web
adx_redirect,GENERAL,Standard,fallback
adx_setting,GENERAL,Standard,fallback
adx_shortcut,GENERAL,Standard,fallback
adx_sitemarker,GENERAL,Standard,fallback
adx_sitesetting,GENERAL,Standard,fallback
adx_tag,GENERAL,Standard,fallback
adx_urlhistory,GENERAL,Standard,fallback
adx_webfile,WEBCONTENT,Standard,kw:web
adx_webfilelog,WEBCONTENT,Standard,kw:web
adx_webform,WEBCONTENT,Standard,kw:web
adx_webformmetadata,WEBCONTENT,Standard,kw:web
adx_webformsession,WEBCONTENT,Standard,kw:web
adx_webformstep,WEBCONTENT,Standard,kw:web
adx_weblink,WEBCONTENT,Standard,kw:web
adx_weblinkset,WEBCONTENT,Standard,kw:web
adx_webnotificationentity,WEBCONTENT,Standard,kw:web
adx_webnotificationurl,WEBCONTENT,Standard,kw:web
adx_webpage,WEBCONTENT,Standard,kw:web
adx_webpage_tag,WEBCONTENT,Standard,kw:web
adx_webpageaccesscontrolrule,WEBCONTENT,Standard,kw:web
adx_webpageaccesscontrolrule_webrole,WEBCONTENT,Standard,kw:web
adx_webpagehistory,WEBCONTENT,Standard,kw:web
adx_webpagelog,WEBCONTENT,Standard,kw:web
adx_webrole,WEBCONTENT,Standard,kw:web
adx_webrole_account,CCSP ORGANISATIES,Standard,kw:account
adx_webrole_contact,CCSP CONTACTPERSONEN,Standard,kw:contact
adx_webrole_ideaforum_read,WEBCONTENT,Standard,kw:web
adx_webrole_ideaforum_write,WEBCONTENT,Standard,kw:web
adx_webrole_systemuser,WEBCONTENT,Standard,kw:web
adx_webrolecontentaccesslevel,WEBCONTENT,Standard,kw:web
adx_website,WEBCONTENT,Standard,kw:web
adx_website_list,WEBCONTENT,Standard,kw:web
adx_website_sponsor,WEBCONTENT,Standard,kw:web
adx_websiteaccess,WEBCONTENT,Standard,kw:web
adx_websiteaccess_webrole,WEBCONTENT,Standard,kw:web
adx_websitebinding,WEBCONTENT,Standard,kw:web
adx_websitelanguage,WEBCONTENT,Standard,kw:web
adx_webtemplate,WEBCONTENT,Standard,kw:web
aicopilot,GENERAL,Standard,fallback
aicopilot_aiplugin,GENERAL,Standard,fallback
aiinsightcard,GENERAL,Standard,fallback
aiplugin,GENERAL,Standard,fallback
aipluginauth,GENERAL,Standard,fallback
aipluginconversationstarter,GENERAL,Standard,fallback
aipluginconversationstartermapping,GENERAL,Standard,fallback
aipluginexternalschema,GENERAL,Standard,fallback
aipluginexternalschemaproperty,GENERAL,Standard,fallback
aiplugingovernance,GENERAL,Standard,fallback
aiplugingovernanceext,GENERAL,Standard,fallback
aiplugininstance,GENERAL,Standard,fallback
aipluginoperation,GENERAL,Standard,fallback
aipluginoperationparameter,GENERAL,Standard,fallback
aipluginoperationresponsetemplate,GENERAL,Standard,fallback
aiplugintitle,GENERAL,Standard,fallback
aipluginusersetting,GENERAL,Standard,fallback
aiskillconfig,GENERAL,Standard,fallback
annotation,GENERAL,Standard,fallback
annualfiscalcalendar,GENERAL,Standard,fallback
apisettings,GENERAL,Standard,fallback
appaction,GENERAL,Standard,fallback
appaction_appactionrule_classicrules,GENERAL,Standard,fallback
appactionmigration,GENERAL,Standard,fallback
appactionrule,GENERAL,Standard,fallback
appactionrule_webresource_scripts,WEBCONTENT,Standard,kw:web
appconfig,GENERAL,Standard,fallback
appconfiginstance,GENERAL,Standard,fallback
appconfigmaster,GENERAL,Standard,fallback
appelement,GENERAL,Standard,fallback
appentitysearchview,GENERAL,Standard,fallback
application,GENERAL,Standard,fallback
applicationfile,GENERAL,Standard,fallback
applicationroles,GENERAL,Standard,fallback
applicationuser,GENERAL,Standard,fallback
applicationuserprofile,GENERAL,Standard,fallback
applicationuserrole,GENERAL,Standard,fallback
appmodule,GENERAL,Standard,fallback
appmodulecomponent,GENERAL,Standard,fallback
appmodulecomponentedge,GENERAL,Standard,fallback
appmodulecomponentnode,GENERAL,Standard,fallback
appmodulemetadata,GENERAL,Standard,fallback
appmodulemetadatadependency,GENERAL,Standard,fallback
appmodulemetadataoperationlog,GENERAL,Standard,fallback
appmoduleroles,GENERAL,Standard,fallback
appnotification,GENERAL,Standard,fallback
appointment,VERGADERBEHEER,Standard,exact
approvalprocess,PROCESMANAGER,Standard,kw:process
approvalstageapproval,PROCESMANAGER,Standard,kw:stage
approvalstagecondition,PROCESMANAGER,Standard,kw:stage
approvalstageintelligent,PROCESMANAGER,Standard,kw:stage
approvalstageorder,PROCESMANAGER,Standard,kw:stage
appsetting,GENERAL,Standard,fallback
appusersetting,GENERAL,Standard,fallback
archivecleanupinfo,GENERAL,Standard,fallback
archivecleanupoperation,GENERAL,Standard,fallback
asyncoperation,GENERAL,Standard,fallback
attachment,GENERAL,Standard,fallback
attribute,GENERAL,Standard,fallback
attributeclusterconfig,GENERAL,Standard,fallback
attributeimageconfig,GENERAL,Standard,fallback
attributemap,GENERAL,Standard,fallback
attributemaskingrule,GENERAL,Standard,fallback
attributepicklistvalue,GENERAL,Standard,fallback
